time_s,temperature,heart_rate,spo2,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.5,36.865,77.78,98.31,-0.0175,-0.066,1.009,0.313,0.618,1.072
1.55,36.862,78.14,98.33,-0.0571,-0.0262,1.009,-0.153,-0.125,1.435
1.6,36.876,77.45,98.29,-0.0601,-0.0384,0.9456,0.155,0.073,1.343
1.65,36.882,77.93,98.31,-0.0704,-0.0304,0.9234,0.995,-0.901,1.084
1.7,36.869,78.18,98.43,-0.0231,0.0095,0.9891,0.383,-1.447,1.09
1.75,36.862,77.36,98.38,0.009,0.0035,1.0208,-0.99,-0.564,-0.811
1.8,36.862,78.3,98.39,0.0124,-0.0415,1.0352,-1.002,-0.355,-0.017
1.85,36.877,78.51,98.32,0.0518,-0.0555,0.9922,-0.135,0.273,-1.748
1.9,36.878,78.8,98.42,-0.004,0.0201,0.9698,-0.981,0.524,0.06
1.95,36.876,77.8,98.33,-0.0596,0.0651,1.0009,-1.389,-0.314,0.83
2.0,36.864,78.4,98.35,-0.0973,0.0058,1.0008,-1.254,-1.485,0.783
2.05,36.873,79.11,98.44,-0.0335,-0.0703,1.0231,-1.186,-1.074,0.458
2.1,36.871,77.63,98.47,0.0168,-0.0613,1.0314,0.287,-0.937,-0.001
2.15,36.872,78.49,98.4,0.0521,0.0077,0.9614,-0.782,-0.498,-0.536
2.2,36.879,77.72,98.41,0.0494,-0.0035,1.0202,-0.006,0.526,0.079
2.25,36.872,78.25,98.44,-0.0123,0.0415,0.9747,1.12,0.324,0.092
2.3,36.877,78.03,98.39,-0.0631,0.0413,0.9688,1.181,-0.379,0.548
2.35,36.871,78.58,98.48,-0.0569,-0.0213,0.9418,0.711,-1.316,1.068
2.4,36.873,78.21,98.5,-0.0112,0.0234,0.9908,1.193,-1.055,0.99
2.45,36.876,77.66,98.48,-0.0166,0.0104,1.0202,0.238,-0.378,0.812
2.5,36.856,79.0,98.44,-0.0165,-0.0328,1.0081,0.713,-0.112,0.025
2.55,36.867,78.27,98.49,0.0189,-0.0132,1.0385,0.107,1.163,0.503
2.6,36.865,78.6,98.56,0.0298,-0.0066,1.0615,0.017,0.705,-0.086
2.65,36.864,77.48,98.55,0.0395,0.022,0.9861,0.294,1.588,-0.666
2.7,36.867,77.76,98.53,0.043,0.0353,1.0098,-0.964,1.432,0.502
2.75,36.885,78.37,98.54,0.0517,-0.0457,0.9484,-0.798,0.432,0.011
2.8,36.861,77.41,98.53,0.0326,-0.0252,0.9816,-1.107,-0.202,-0.338
2.85,36.88,77.69,98.57,0.0854,-0.0198,1.0105,-1.08,0.471,0.282
2.9,36.853,77.57,98.57,0.0557,0.0169,1.0197,-1.121,0.703,-0.922
2.95,36.867,76.33,98.51,-0.0033,0.0294,1.0651,0.087,0.334,-0.519
3.0,36.872,77.38,98.54,-0.0087,0.0324,1.015,-1.065,-0.093,-0.504
3.05,36.876,77.11,98.54,-0.0313,0.0144,0.9834,0.386,-0.336,-0.655
3.1,36.877,77.15,98.59,0.0386,-0.0529,0.9781,0.008,0.517,0.289
3.15,36.878,76.78,98.58,-0.0075,-0.029,0.9359,-0.321,0.731,0.202
3.2,36.867,76.41,98.52,0.0111,-0.0811,0.9752,-1.136,0.905,-0.491
3.25,36.865,76.56,98.56,0.0155,-0.0449,1.0207,-0.909,-0.703,0.062
3.3,36.879,76.63,98.56,-0.0741,-0.036,1.0602,-0.456,-0.895,0.292
3.35,36.868,77.12,98.53,-0.0483,-0.0373,1.0321,-0.406,-0.119,-1.308
3.4,36.857,76.46,98.53,-0.0033,-0.0064,1.0183,0.632,-1.15,0.2
3.45,36.859,76.73,98.56,0.0625,-0.0094,1.0429,0.347,0.103,0.755
3.5,36.861,76.71,98.5,0.0096,0.0369,1.0851,2.102,1.357,1.043
3.55,36.875,76.29,98.54,-0.0385,0.0668,1.0831,1.008,1.864,1.22
3.6,36.871,76.99,98.53,-0.0884,0.0004,1.0636,2.413,1.42,0.695
3.65,36.877,76.28,98.49,-0.0338,-0.0228,1.0126,1.77,1.035,0.625
3.7,36.866,76.15,98.45,0.0031,-0.0371,0.9969,1.228,0.765,-0.628
3.75,36.872,76.95,98.48,0.011,-0.0328,1.0421,0.997,0.635,0.202
3.8,36.876,76.44,98.46,-0.0082,0.0036,1.0298,0.087,0.252,-1.092
3.85,36.867,75.16,98.39,0.0049,0.0198,1.0352,-0.485,-0.683,-0.5
3.9,36.875,75.01,98.45,-0.0115,0.013,1.0222,-0.293,-0.021,0.041
3.95,36.863,77.14,98.4,-0.0324,0.015,0.9708,-0.647,-0.447,0.161
4.0,36.866,76.38,98.42,-0.031,0.0175,1.036,-1.12,0.287,-0.13
4.05,36.866,76.26,98.43,0.0051,0.0222,1.0033,-1.575,1.438,1.046
4.1,36.858,75.25,98.33,-0.0014,0.0512,0.9591,-0.876,0.26,0.24
4.15,36.875,76.31,98.34,-0.0069,0.0148,0.9727,-2.12,-0.049,-0.474
4.2,36.865,75.88,98.32,0.0074,0.0213,0.9662,-1.162,0.387,-1.364
4.25,36.87,76.27,98.31,0.0007,0.0569,0.9728,-0.556,-0.858,-0.197
4.3,36.875,76.1,98.34,0.0427,0.0108,0.982,-0.248,-0.861,-0.101
4.35,36.874,76.36,98.31,-0.0382,-0.0615,0.9723,0.089,-0.576,0.24
4.4,36.877,76.64,98.26,-0.0361,-0.0778,0.9993,0.594,0.076,0.358
4.45,36.869,76.77,98.25,-0.0199,-0.0637,1.0168,1.42,0.351,0.27
4.5,36.866,76.6,98.22,-0.0232,0.0524,0.9669,0.087,1.579,0.64
4.55,36.869,76.73,98.3,0.0439,0.0311,0.9592,0.6,1.036,0.73
4.6,36.853,75.83,98.25,0.0715,0.0071,0.9964,-0.261,1.113,0.389
4.65,36.855,76.74,98.23,-0.0116,0.0127,1.0201,-0.459,1.106,-0.427
4.7,36.857,76.93,98.24,-0.0307,0.0393,0.9892,-0.2,0.375,-0.923
4.75,36.86,76.84,98.25,-0.0785,0.0614,0.9586,0.363,-1.013,0.068
4.8,36.874,77.67,98.23,-0.07,0.0141,0.9804,-0.208,-1.416,0.08
4.85,36.861,76.85,98.27,-0.0281,-0.0226,1.0039,0.483,-2.04,-1.075
4.9,36.866,76.37,98.25,0.0004,-0.0346,0.9821,0.439,-1.531,-0.107
4.95,36.883,77.08,98.23,-0.0458,-0.0386,0.9759,-0.571,-1.485,-1.076
5.0,36.866,76.84,98.2,-0.0645,0.0212,0.9891,-1.419,-0.89,-0.418
5.05,36.877,76.31,98.26,-0.0229,0.0577,1.0138,-0.765,-0.846,0.241
5.1,36.86,77.06,98.25,-0.0017,0.012,0.9709,-0.226,0.171,-0.458
5.15,36.868,77.99,98.17,0.0349,0.0093,0.9755,-1.203,-0.703,1.027
5.2,36.86,77.11,98.26,-0.0296,-0.0424,1.0279,0.586,-0.381,-0.169
5.25,36.866,77.87,98.25,-0.016,-0.0316,0.997,-0.284,-1.293,-0.655
5.3,36.878,77.71,98.26,0.0354,-0.0493,0.9331,-1.145,-1.656,-0.163
5.35,36.853,78.57,98.27,0.0963,-0.0422,0.9253,-0.356,-2.197,0.033
5.4,36.874,77.63,98.26,0.0004,-0.0621,0.9603,-1.663,-2.318,0.254
5.45,36.872,77.47,98.3,0.0135,-0.0091,1.0354,-0.7,-1.191,-0.219
5.5,36.864,77.49,98.26,-0.0095,0.0002,1.0539,-0.933,-0.446,-0.053
5.55,36.855,77.6,98.18,0.0124,-0.0207,1.0435,-0.493,0.207,-0.288
5.6,36.87,77.34,98.3,-0.0086,-0.0379,1.0287,-1.299,1.186,-0.509
5.65,36.864,77.22,98.32,-0.0097,-0.0786,0.9801,0.076,1.742,0.766
5.7,36.872,77.71,98.3,0.0978,-0.0489,0.9482,-1.372,0.388,0.116
5.75,36.87,77.17,98.29,0.0956,-0.0541,1.0037,0.182,1.11,0.135
5.8,36.886,76.55,98.35,0.0627,0.0332,1.0135,-0.686,1.719,0.086
5.85,36.867,76.82,98.34,-0.0369,0.0364,0.9776,0.224,0.534,0.178
5.9,36.859,78.3,98.28,-0.0146,0.0913,1.0022,0.607,-0.016,0.347
5.95,36.871,77.31,98.34,0.0181,0.0266,0.999,0.546,-0.432,-0.545
6.0,36.872,77.84,98.32,0.0377,0.0002,0.9804,1.233,-1.444,-1.405
6.05,36.883,77.09,98.38,0.015,-0.0285,0.98,0.742,-0.48,-0.8
6.1,36.878,77.87,98.36,-0.0541,-0.0116,0.9087,1.886,-0.934,-0.204
6.15,36.873,77.61,98.44,-0.0446,0.0306,0.9616,1.109,-1.087,0.045
6.2,36.884,78.39,98.35,-0.0001,-0.0624,0.9919,1.505,1.079,0.393
6.25,36.858,78.03,98.48,0.0054,-0.0612,1.0117,0.676,0.509,0.223
6.3,36.863,77.72,98.5,0.0145,-0.0261,1.0343,-0.781,1.924,0.021
6.35,36.86,77.04,98.42,-0.0066,-0.0445,1.0505,-1.433,2.368,-0.231
6.4,36.866,76.73,98.43,0.0174,-0.0325,0.991,-0.573,1.494,0.929
6.45,36.856,77.22,98.48,0.0437,-0.0411,0.9769,-1.408,1.9,-0.097
6.5,36.876,77.28,98.51,0.0375,-0.0453,0.9485,0.165,0.767,0.286
6.55,36.867,77.04,98.45,-0.0068,0.0135,0.9404,-0.129,0.221,0.011
6.6,36.855,77.58,98.47,0.064,0.0461,0.991,0.302,1.06,-0.438
6.65,36.859,77.24,98.54,-0.0192,-0.0229,0.9562,0.295,0.161,0.256
6.7,36.873,77.17,98.52,-0.0109,0.0193,0.9804,1.942,0.918,-0.47
6.75,36.878,77.91,98.5,0.0322,0.0191,0.9672,1.87,-0.56,0.136
6.8,36.89,77.18,98.5,-0.0014,0.0227,0.9892,1.377,-0.441,-0.176
6.85,36.899,76.42,98.56,0.037,0.0028,1.0048,1.413,-0.007,1.22
6.9,36.874,77.59,98.5,0.0207,0.0116,0.9729,0.243,-0.014,-0.617
6.95,36.86,77.16,98.49,-0.0233,0.0323,0.9398,0.136,-1.191,-0.259
7.0,36.848,76.89,98.52,-0.0246,0.0042,0.9347,-0.124,-1.25,-0.365
7.05,36.872,76.52,98.53,-0.0182,0.0287,0.9896,0.173,-1.555,-0.365
7.1,36.861,77.6,98.48,0.0202,-0.027,1.0083,0.307,-1.558,-0.586
7.15,36.865,77.79,98.52,-0.0117,-0.0617,1.0181,-0.457,-1.385,0.351
7.2,36.863,76.58,98.51,-0.0255,-0.0219,1.0008,0.571,-0.796,0.458
7.25,36.868,77.04,98.52,0.0066,0.0214,0.973,1.127,0.177,0.455
7.3,36.88,77.08,98.54,0.0546,0.0278,1.0122,0.33,0.154,-0.427
7.35,36.871,75.96,98.5,0.0446,0.0385,0.9867,1.296,-0.319,-0.559
7.4,36.868,76.78,98.51,0.0507,-0.0133,0.9647,1.155,-0.631,0.04
7.45,36.859,75.9,98.46,0.0434,-0.0212,1.0136,0.968,-1.683,-1.569
7.5,36.853,76.73,98.48,0.0283,-0.0255,1.0506,1.382,-0.003,-0.699
7.55,36.865,77.84,98.43,0.0032,-0.0417,1.063,0.735,-0.054,-1.568
7.6,36.869,75.95,98.42,-0.0703,-0.0493,1.0358,0.2,0.433,-1.437
7.65,36.887,77.57,98.47,-0.049,-0.0084,1.0151,0.369,0.862,0.076
7.7,36.871,77.49,98.43,-0.09,0.0109,1.0306,0.225,0.037,-0.985
7.75,36.879,76.56,98.44,-0.0595,0.0213,0.9814,0.241,-0.096,0.624
7.8,36.864,76.78,98.41,-0.0173,0.0228,0.9977,0.905,-1.373,-0.013
7.85,36.858,76.35,98.38,-0.0279,-0.0219,0.9966,0.405,-0.153,0.763
7.9,36.86,76.23,98.46,0.0154,-0.0147,0.9488,0.691,0.105,0.808
7.95,36.862,76.51,98.35,-0.0291,0.0623,0.9472,-0.501,0.814,-0.063
8.0,36.891,75.99,98.36,-0.0467,0.0365,0.9676,-1.491,-0.275,0.108
8.05,36.861,76.57,98.42,0.0135,0.0701,1.031,-1.015,-0.021,-0.463
8.1,36.878,76.32,98.34,0.0301,0.0488,1.0293,0.466,0.449,0.337
8.15,36.86,75.73,98.32,0.0529,0.0425,1.0204,0.144,1.18,-1.075
8.2,36.879,76.58,98.31,0.0181,0.045,1.0046,1.322,0.803,-0.303
8.25,36.873,76.55,98.25,-0.0428,-0.0237,0.9667,1.686,0.505,-0.545
8.3,36.868,76.71,98.27,-0.0989,-0.0331,0.9848,-0.149,0.234,0.72
8.35,36.869,75.88,98.31,-0.062,0.005,1.0219,-0.418,-1.264,0.491
8.4,36.863,76.6,98.25,0.0239,0.0288,1.0041,-1.502,0.804,-0.217
8.45,36.874,77.14,98.2,0.0545,0.0496,1.0016,0.46,0.362,0.286
8.5,36.865,76.05,98.21,0.0636,0.0013,0.9761,-0.751,1.256,-0.0
8.55,36.857,76.07,98.26,0.0186,-0.0105,0.9979,0.079,0.368,0.187
8.6,36.857,76.33,98.23,-0.0079,0.0329,1.0177,0.981,-0.862,-0.009
8.65,36.871,74.89,98.29,-0.0013,0.0582,1.0333,1.508,-0.622,-0.039
8.7,36.885,75.27,98.18,-0.0226,0.0738,0.9725,1.412,-0.527,0.332
8.75,36.871,75.67,98.21,-0.0022,0.0704,0.9496,0.69,0.287,-0.876
8.8,36.868,75.76,98.19,0.0464,0.0131,0.9505,0.568,1.219,0.233
8.85,36.872,75.99,98.2,0.0323,-0.0021,0.9999,0.229,0.325,0.007
8.9,36.882,76.07,98.15,-0.0134,-0.0354,1.0277,0.187,0.302,-0.277
8.95,36.872,75.25,98.17,-0.0164,-0.0198,1.0587,-0.382,1.191,-0.07
9.0,36.865,76.52,98.23,-0.0364,0.0631,1.02,-0.0,-0.088,-0.362
9.05,36.88,76.13,98.19,-0.0316,0.0723,0.9962,-0.392,0.214,-1.044
9.1,36.874,76.01,98.23,-0.0081,0.0188,0.9467,-0.175,-1.421,0.298
9.15,36.885,76.25,98.19,-0.0307,0.0047,1.0043,1.435,-0.473,-1.467
9.2,36.871,75.72,98.21,-0.054,-0.0181,1.0131,-0.24,1.497,0.534
9.25,36.857,75.94,98.19,-0.0112,-0.0077,1.0345,0.209,1.311,0.767
9.3,36.856,75.56,98.2,0.0855,-0.0433,1.0729,-1.713,1.138,-0.072
9.35,36.886,75.04,98.18,0.0773,-0.0669,0.9733,-0.512,1.085,0.098
9.4,36.887,76.07,98.22,0.028,-0.019,0.9721,-1.18,0.644,1.562
9.45,36.867,77.09,98.27,0.0003,-0.0054,0.9881,-0.371,0.242,0.342
9.5,36.865,76.0,98.23,-0.093,-0.0421,0.9759,-0.19,0.197,0.445
9.55,36.884,75.56,98.28,-0.0438,-0.0226,0.9656,-0.416,1.225,0.007
9.6,36.858,76.67,98.26,0.0182,-0.0184,1.0255,-0.722,0.218,-0.346
9.65,36.86,76.21,98.26,-0.0098,0.0204,1.028,-1.035,0.764,0.486
9.7,36.876,76.72,98.23,0.0262,-0.0095,0.988,-1.529,0.157,-0.064
9.75,36.865,76.9,98.26,0.0229,0.0212,0.946,-0.194,0.019,-0.138
9.8,36.869,76.37,98.31,0.0893,-0.0131,1.0188,-0.254,-1.161,-0.031
9.85,36.868,76.89,98.25,0.0899,-0.0142,1.0187,-0.058,-1.718,0.316
9.9,36.873,76.73,98.29,0.0602,0.0522,1.0009,-0.136,-0.957,-0.853
9.95,36.883,75.82,98.33,-0.001,-0.0129,1.0147,-1.078,-0.714,-0.528
10.0,36.87,76.6,98.33,0.0078,-0.039,0.9918,-0.866,0.045,0.335
10.05,36.876,76.5,98.42,0.0461,-0.0919,0.9867,-1.692,0.542,0.299
10.1,36.849,76.22,98.37,-0.042,-0.0232,0.9799,-0.817,-0.02,-0.215
10.15,36.869,76.59,98.36,-0.0583,-0.0131,0.954,-0.44,-0.767,-0.745
10.2,36.861,77.4,98.35,-0.0594,0.0167,0.9502,1.032,-0.473,-0.346
10.25,36.857,77.11,98.36,0.0112,0.061,0.9763,1.12,-0.592,-1.114
10.3,36.86,76.21,98.38,0.0394,0.0906,1.0627,1.961,-0.952,-0.322
10.35,36.866,76.61,98.41,0.068,-0.0096,1.049,0.097,0.237,0.457
10.4,36.878,77.2,98.49,0.0118,-0.0104,1.0772,-0.321,0.414,0.095
10.45,36.856,77.21,98.41,-0.0402,-0.0271,1.0027,-0.845,-0.653,-0.675
10.5,36.869,77.06,98.43,-0.0593,0.0323,0.9831,-0.61,-0.587,-0.279
10.55,36.864,77.6,98.43,0.0244,0.0064,0.9748,-0.189,-0.701,0.904
10.6,36.866,77.41,98.43,0.0345,-0.0399,0.9831,1.531,-0.167,0.6
10.65,36.879,76.93,98.41,-0.0553,-0.0327,1.0448,1.343,-0.91,0.384
10.7,36.875,76.86,98.44,-0.0623,-0.0798,1.0435,1.672,-0.365,0.091
10.75,36.882,77.07,98.45,0.0053,0.0135,1.0302,2.174,0.438,-0.848
10.8,36.868,76.1,98.52,0.0161,0.0386,1.0181,-0.368,0.739,-0.219
10.85,36.862,77.24,98.43,-0.0036,-0.016,0.9593,-0.399,-0.767,0.364
10.9,36.867,76.42,98.48,-0.0395,-0.0839,1.0065,-0.301,-1.553,0.145
10.95,36.872,77.6,98.5,-0.0243,-0.0195,1.0335,-0.227,-1.158,0.329
11.0,36.871,76.08,98.48,0.0371,-0.0154,0.9752,-0.586,-1.685,0.345
11.05,36.858,77.05,98.44,0.0221,0.0165,1.0254,0.591,-0.448,1.306
11.1,36.87,75.8,98.47,-0.0056,-0.0417,1.0252,-0.876,-0.824,0.566
11.15,36.871,76.39,98.39,0.0062,-0.0058,0.9818,-1.391,-0.855,-0.281
11.2,36.894,76.83,98.5,-0.0175,0.0145,1.0228,-1.56,-0.258,0.752
11.25,36.888,77.0,98.48,-0.0378,-0.0011,1.028,0.029,0.16,-0.992
11.3,36.861,76.88,98.43,-0.059,0.0057,1.0755,-0.763,0.351,0.592
11.35,36.866,76.69,98.49,0.0045,-0.0748,0.9848,-1.0,0.426,0.356
11.4,36.854,76.65,98.44,0.0892,-0.0232,0.9482,-0.326,0.306,0.589
11.45,36.863,76.59,98.45,0.1065,-0.0176,0.9733,0.239,0.967,-0.34
11.5,36.872,75.76,98.44,0.0392,0.0096,0.9433,-0.242,1.139,0.272
11.55,36.881,75.74,98.42,0.012,0.0044,0.9523,0.07,-1.661,-0.409
11.6,36.862,76.17,98.4,0.0074,0.0188,0.9688,-0.148,-2.296,1.066
11.65,36.862,76.27,98.45,-0.0204,0.0442,0.9936,0.34,-1.541,0.641
11.7,36.848,75.54,98.39,-0.0645,-0.0085,0.9988,0.865,-1.315,0.988
11.75,36.867,75.25,98.37,-0.0776,-0.0139,1.0425,0.495,-1.204,-0.006
11.8,36.858,75.13,98.37,-0.0394,-0.0209,1.0202,-0.248,-0.99,-0.243
11.85,36.864,74.91,98.37,0.0269,0.0429,0.9656,-0.06,0.018,-0.253
11.9,36.86,75.47,98.36,0.0502,0.0279,0.9787,0.195,0.242,0.61
11.95,36.868,75.72,98.37,-0.0088,0.0318,1.0004,-0.233,-0.495,0.16
12.0,36.851,75.31,98.34,0.036,-0.0741,1.0085,0.615,0.551,1.276
12.05,36.854,74.99,98.32,0.0275,-0.0447,1.0137,0.473,0.865,-1.062
12.1,36.89,75.89,98.32,0.0415,-0.0547,1.0004,0.497,1.145,-1.387
12.15,36.856,74.88,98.31,-0.0008,-0.0003,0.9941,-0.736,0.228,-0.766
12.2,36.858,75.52,98.24,0.0249,-0.0032,0.9497,0.572,0.712,-0.639
12.25,36.887,74.25,98.26,0.0462,-0.0612,0.9254,0.406,0.125,0.085
12.3,36.898,74.87,98.22,0.0319,-0.0326,0.9602,0.024,-0.437,0.01
12.35,36.857,74.25,98.22,-0.0134,0.0043,1.0342,-0.337,-1.196,-0.038
12.4,36.865,74.26,98.23,0.0192,-0.017,1.0671,0.815,-1.84,-0.293
12.45,36.872,74.31,98.22,-0.0635,-0.0202,1.0162,0.312,-1.767,-0.026
12.5,36.886,74.75,98.2,-0.034,-0.0432,1.0008,-0.31,0.126,-0.507
12.55,36.859,74.5,98.19,-0.047,0.0011,1.0081,-0.957,-0.137,-0.891
12.6,36.866,73.72,98.16,0.0301,0.0263,0.9989,-1.21,0.471,-1.182
12.65,36.877,74.57,98.16,-0.0264,0.0301,1.0015,-0.592,1.169,0.607
12.7,36.873,74.51,98.12,-0.0796,0.0509,0.956,0.287,-0.354,-0.773
12.75,36.865,73.99,98.16,-0.0573,-0.0243,1.0004,-0.408,-0.754,-1.096
12.8,36.868,75.15,98.16,0.0023,-0.0327,1.0127,0.689,-0.543,-1.886
12.85,36.855,75.31,98.16,0.0699,-0.0491,1.009,0.793,-0.598,-0.3
12.9,36.866,75.35,98.19,0.0309,0.0179,0.9636,1.428,0.756,0.732
12.95,36.866,75.97,98.19,-0.0006,0.0031,0.9759,0.134,1.023,-0.028
13.0,36.871,74.64,98.15,0.0392,-0.019,0.9781,-0.115,0.472,0.279
13.05,36.863,74.73,98.14,-0.0209,-0.0264,0.9587,0.909,1.241,1.209
13.1,36.874,75.35,98.2,-0.0583,-0.0285,0.9395,0.071,0.158,0.047
13.15,36.879,75.4,98.16,-0.0395,-0.005,0.9112,0.554,-1.479,1.0
13.2,36.87,75.62,98.15,-0.0061,0.0319,0.9803,-0.254,-0.619,-0.252
13.25,36.872,76.06,98.17,0.0037,-0.0085,0.9516,-0.074,-0.25,1.12
13.3,36.869,75.61,98.2,-0.0126,-0.047,1.0189,-0.537,0.43,-0.065
13.35,36.869,76.35,98.19,0.0283,-0.018,1.0246,-1.639,0.79,0.706
13.4,36.862,75.54,98.19,-0.0112,0.0515,1.0108,-1.543,1.211,0.483
13.45,36.872,75.76,98.18,-0.0106,0.0315,0.989,-0.398,2.696,0.335
13.5,36.868,75.55,98.18,0.0047,-0.0238,1.029,-1.131,0.808,0.82
13.55,36.89,74.48,98.27,0.0218,0.0294,1.0697,-1.826,0.743,-0.883
13.6,36.885,75.4,98.14,0.0497,0.0511,1.0261,-1.555,1.58,-0.042
13.65,36.873,76.79,98.2,0.0147,0.1014,0.9638,-0.421,0.13,-0.981
13.7,36.861,76.97,98.23,-0.057,0.0409,0.9699,-0.897,-1.297,-0.791
13.75,36.858,75.84,98.22,-0.0713,0.0055,1.01,0.154,-0.693,-1.012
13.8,36.881,77.01,98.21,-0.0103,-0.009,0.9746,-0.351,0.023,0.359
13.85,36.871,75.38,98.23,0.0845,0.1066,0.9545,0.085,-0.033,-0.042
13.9,36.874,76.12,98.25,0.029,0.0649,0.9709,0.188,0.734,0.128
13.95,36.851,76.44,98.3,-0.0138,0.0647,1.0218,0.487,0.247,0.702
14.0,36.878,77.22,98.28,-0.0847,0.0754,0.9984,-0.016,0.418,0.392
14.05,36.873,77.62,98.29,-0.0411,0.0817,0.9463,-0.478,-1.552,0.814
14.1,36.858,76.49,98.32,-0.0392,0.0699,0.9116,-0.042,-0.681,0.512
14.15,36.864,76.69,98.27,0.0253,0.0647,0.9172,1.205,0.211,0.104
14.2,36.871,77.23,98.32,0.0142,-0.0135,0.9763,1.21,0.511,0.202
14.25,36.869,77.82,98.32,-0.0083,-0.0286,0.9939,0.239,-0.485,0.288
14.3,36.866,77.26,98.34,-0.0281,-0.0238,0.9713,1.145,-0.309,1.188
14.35,36.868,76.03,98.33,0.0089,0.0506,0.9962,0.24,0.089,0.387
14.4,36.866,77.03,98.4,-0.0284,-0.0273,0.9819,0.326,0.381,-0.652
14.45,36.87,76.21,98.36,-0.0245,-0.0342,0.9439,0.406,0.545,0.435
14.5,36.883,77.18,98.35,0.0261,-0.0095,1.0003,0.078,0.093,0.324
14.55,36.843,76.73,98.39,0.0806,-0.0324,1.0516,0.035,0.887,-0.398
14.6,36.866,75.83,98.39,0.0644,0.0005,1.0086,0.626,0.162,-0.095
14.65,36.87,76.81,98.42,-0.022,-0.0328,1.0256,0.018,-0.92,0.224
14.7,36.872,76.44,98.46,-0.0733,-0.0855,1.0474,-0.382,-0.904,1.699
14.75,36.865,76.28,98.43,-0.0065,-0.0606,1.0154,-1.045,0.445,-0.785
14.8,36.851,76.01,98.45,0.0654,-0.0649,0.975,0.103,0.415,1.28
14.85,36.872,75.63,98.41,0.0663,-0.0479,0.9776,0.226,2.442,-0.373
14.9,36.886,76.1,98.4,0.015,0.0095,0.9576,-0.474,1.923,-0.735
14.95,36.853,76.79,98.45,-0.0083,0.0348,0.9925,0.158,0.552,-1.151
15.0,36.877,76.54,98.49,-0.0004,0.1083,0.9926,-0.78,-0.233,-0.552
15.05,36.865,75.39,98.43,0.0414,0.0145,0.9955,-1.036,0.209,-0.714
15.1,36.868,74.33,98.43,0.0728,-0.0478,1.0126,-1.051,-0.622,-0.755
15.15,36.858,75.0,98.46,0.0638,-0.0703,1.025,0.247,0.099,-0.217
15.2,36.865,75.25,98.45,0.0088,-0.0015,1.0456,0.174,-0.567,0.075
15.25,36.882,75.22,98.42,-0.0066,-0.0295,1.004,0.672,-0.759,0.67
15.3,36.874,75.43,98.46,-0.0023,-0.0252,1.0541,1.558,-0.214,0.695
